Unnamed: 0,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,timestamp,tool_wear,experiment_tag,time,VB_mm,ACTION_CODE
7800,4.019,3.488,-0.786,-0.009,0.014,-0.008,0.085,309.16144,0.094476703,c1,309.16144,0.094476703,0
7900,2.271,17.295,4.211,-0.055,-0.018,-0.072,0.11,313.12146,0.094514843,c1,313.12146,0.094514843,0
8000,7.157,24.122,5.433,-0.063,-0.026,-0.042,0.08,317.08148,0.094542484,c1,317.08148,0.094542484,0
8100,6.704,2.862,13.694,-0.019,-0.143,0.141,0.166,321.0415,0.094560216,c1,321.0415,0.094560216,0
8200,8.922,9.452,17.266,0.048,0.086,-0.046,0.177,325.0415,0.094560216,c1,325.0415,0.094560216,0
8300,7.619,5.347,8.291,-0.018,0.042,-0.032,0.093,329.00152,0.094568624,c1,329.00152,0.094568624,0
8400,5.193,7.995,6.051,0.051,0.043,0.078,0.098,332.96154,0.094568624,c1,332.96154,0.094568624,0
8500,8.771,9.633,12.367,0.054,-0.098,-0.097,0.085,336.92156,0.094568624,c1,336.92156,0.094568624,0
8600,0.648,-2.03,-4.941,0.008,0.12,0.1,0.108,340.88158,0.094568624,c1,340.88158,0.094568624,0
8700,8.672,5.655,16.32,0.145,-0.001,-0.038,0.097,344.8416,0.094568624,c1,344.8416,0.094568624,0
8800,2.441,14.257,7.481,-0.028,-0.039,-0.001,0.074,348.80162,0.094568624,c1,348.80162,0.094568624,0
8900,4.732,13.868,-8.025,-0.039,-0.074,-0.131,0.109,352.76164,0.094568624,c1,352.76164,0.094568624,0
9000,5.53,15.779,-7.452,-0.076,-0.003,-0.135,0.136,356.72166,0.094568624,c1,356.72166,0.094568624,0
9100,12.929,9.836,-4.516,0.07,0.042,0.077,0.088,360.68168,0.094568624,c1,360.68168,0.094568624,0
9200,3.675,0.189,1.708,0.062,0.023,-0.061,0.167,364.6417,0.094568624,c1,364.6417,0.094568624,0
9300,-4.473,-1.548,-2.442,0.018,-0.039,0.084,0.18,368.6417,0.094568624,c1,368.6417,0.094568624,0
9400,10.549,8.726,-4.491,-0.018,0.005,0.107,0.083,372.60172,0.094568624,c1,372.60172,0.094568624,0
9500,7.172,11.211,11.491,0.096,0.061,0.136,0.102,376.56174,0.094568624,c1,376.56174,0.094568624,0
9600,9.723,1.673,-6.018,-0.007,0.07,0.098,0.066,380.52176,0.094568624,c1,380.52176,0.094568624,0
9700,13.452,0.024,-4.893,0.02,0.004,-0.071,0.109,384.48178,0.094568624,c1,384.48178,0.094568624,0
9800,0.052,6.841,6.064,-0.186,-0.109,-0.034,0.115,388.4418,0.094568624,c1,388.4418,0.094568624,0
9900,-2.057,-4.549,-3.364,0.136,0.032,0.005,0.092,392.40182,0.094568624,c1,392.40182,0.094568624,0
10000,8.126,13.851,-1.233,-0.054,-0.07,-0.103,0.118,396.36184,0.094568624,c1,396.36184,0.094568624,0
10100,16.056,-5.707,25.303,0.019,-0.023,0.007,0.123,400.32186,0.094568624,c1,400.32186,0.094568624,0
10200,7.237,6.588,5.908,0.002,0.04,-0.034,0.091,404.28188,0.094568624,c1,404.28188,0.094568624,0
10300,1.718,19.674,4.419,0.06,0.054,-0.003,0.195,408.2419,0.094568624,c1,408.2419,0.094568624,0
10400,0.265,-4.004,7.998,0.203,0.145,0.146,0.167,412.2419,0.094568624,c1,412.2419,0.094568624,0
10500,8.969,7.824,14.27,-0.039,-0.028,-0.055,0.101,416.20192,0.094568624,c1,416.20192,0.094568624,0
10600,-4.2,1.093,5.207,0.002,0.031,-0.162,0.09,420.16194,0.094568624,c1,420.16194,0.094568624,0
10700,4.134,5.479,7.347,0.062,0.001,0.068,0.091,424.12196,0.094568624,c1,424.12196,0.094568624,0
10800,-0.922,-3.321,-4.108,0.072,-0.017,0.111,0.098,428.08198,0.094568624,c1,428.08198,0.094568624,0
10900,-1.258,5.08,7.67,-0.149,-0.08,-0.176,0.099,432.042,0.094568624,c1,432.042,0.094568624,0
11000,5.87,-6.754,-3.322,0.007,0.046,0.009,0.115,436.00202,0.094568624,c1,436.00202,0.094568624,0
11100,4.999,15.194,8.563,0.009,-0.035,0.044,0.091,439.96204,0.094568624,c1,439.96204,0.094568624,0
11200,6.067,-0.455,-6.6,0.1,0.0,-0.119,0.127,443.92206,0.094568624,c1,443.92206,0.094568624,0
11300,-5.847,-10.164,-3.006,0.064,-0.087,-0.194,0.089,447.88208,0.094568624,c1,447.88208,0.094568624,0
11400,7.925,8.62,1.566,-0.074,0.026,0.171,0.195,451.8421,0.094568624,c1,451.8421,0.094568624,0
11500,-2.441,-6.759,2.125,-0.129,-0.193,-0.079,0.136,455.8421,0.094568624,c1,455.8421,0.094568624,0
11600,5.634,3.823,-4.296,-0.111,-0.139,-0.197,0.098,459.80212,0.094568624,c1,459.80212,0.094568624,0
11700,3.219,-2.081,-5.726,-0.017,0.014,0.054,0.1,463.76214,0.094568624,c1,463.76214,0.094568624,0
11800,2.772,-2.595,-10.025,-0.031,0.128,0.116,0.08,467.72216,0.094568624,c1,467.72216,0.094568624,0
11900,8.331,-1.676,-6.419,0.045,0.053,0.002,0.101,471.68218,0.094568624,c1,471.68218,0.094568624,0
12000,10.449,-0.243,-4.419,-0.015,-0.119,0.086,0.086,475.6422,0.094568624,c1,475.6422,0.094568624,0
12100,17.359,1.718,-7.772,-0.044,-0.165,-0.049,0.105,479.60222,0.094568624,c1,479.60222,0.094568624,0
12200,14.3,-4.591,26.441,-0.049,-0.105,-0.198,0.079,483.56224,0.094568624,c1,483.56224,0.094568624,0
12300,7.722,25.161,3.718,-0.086,-0.042,0.091,0.111,487.52226,0.094568624,c1,487.52226,0.094568624,0
12400,4.942,-20.483,0.435,0.126,0.011,0.173,0.116,491.48228,0.094568624,c1,491.48228,0.094568624,0
12500,13.747,23.552,10.362,-0.117,-0.031,0.0,0.228,495.4423,0.094568624,c1,495.4423,0.094568624,0
12600,14.286,5.772,-2.5,-0.099,-0.022,-0.009,0.132,499.4423,0.094568624,c1,499.4423,0.094568624,0
12700,10.113,7.287,14.567,0.017,0.229,-0.076,0.096,503.40232,0.094568624,c1,503.40232,0.094568624,0
12800,5.749,2.07,13.279,-0.086,0.095,-0.194,0.092,507.36234,0.094568624,c1,507.36234,0.094568624,0
12900,5.821,10.593,18.362,-0.041,0.13,-0.07,0.102,511.32236,0.094568624,c1,511.32236,0.094568624,0
13000,-0.393,-4.703,-6.629,0.041,-0.105,-0.045,0.104,515.28238,0.094568624,c1,515.28238,0.094568624,0
13100,3.502,10.05,4.687,-0.066,-0.076,-0.037,0.108,519.2424,0.094581625,c1,519.2424,0.094581625,0
13200,1.177,14.492,3.978,0.036,-0.092,-0.063,0.106,523.20242,0.094889722,c1,523.20242,0.094889722,0
13300,9.516,2.841,20.902,0.038,0.098,0.096,0.111,527.16244,0.095191104,c1,527.16244,0.095191104,0
13400,8.214,4.857,-10.829,-0.045,0.076,0.027,0.091,531.12246,0.095485693,c1,531.12246,0.095485693,0
13500,13.17,38.495,6.742,0.093,-0.018,-0.109,0.108,535.08248,0.095773435,c1,535.08248,0.095773435,0
13600,-1.204,9.009,0.995,0.163,-0.094,-0.004,0.207,539.0425,0.09605429,c1,539.0425,0.09605429,0
13700,1.017,2.339,9.584,0.005,0.161,-0.095,0.129,543.0425,0.09605429,c1,543.0425,0.09605429,0
13800,16.631,13.374,17.587,-0.186,-0.038,0.051,0.081,547.00252,0.096328243,c1,547.00252,0.096328243,0
13900,19.473,10.026,-7.874,-0.142,-0.081,0.142,0.107,550.96254,0.096595291,c1,550.96254,0.096595291,0
14000,13.225,16.333,18.905,0.139,-0.003,-0.015,0.105,554.92256,0.096855455,c1,554.92256,0.096855455,0
14100,17.241,12.851,18.169,-0.038,-0.184,-0.168,0.124,558.88258,0.097108769,c1,558.88258,0.097108769,0
14200,13.516,8.737,-10.813,-0.141,-0.096,-0.165,0.135,562.8426,0.097355285,c1,562.8426,0.097355285,0
14300,11.204,8.339,-10.929,-0.104,-0.035,-0.118,0.117,566.80262,0.097595074,c1,566.80262,0.097595074,0
14400,12.573,17.712,11.224,-0.133,-0.032,-0.069,0.114,570.76264,0.097828221,c1,570.76264,0.097828221,0
14500,15.731,0.931,19.652,-0.225,0.206,0.17,0.088,574.72266,0.098054826,c1,574.72266,0.098054826,0
14600,8.586,13.632,-4.837,-0.184,-0.106,-0.045,0.119,578.68268,0.098275005,c1,578.68268,0.098275005,0
14700,-3.528,2.923,3.378,0.017,0.034,0.094,0.203,582.6427,0.098488888,c1,582.6427,0.098488888,0
14800,3.648,4.29,-7.374,-0.056,-0.045,0.168,0.161,586.6427,0.098488888,c1,586.6427,0.098488888,0
14900,2.782,2.378,10.745,0.108,0.105,0.165,0.104,590.60272,0.09869662,c1,590.60272,0.09869662,0
15000,1.138,7.133,11.833,0.033,-0.053,0.006,0.118,594.56274,0.098898359,c1,594.56274,0.098898359,0
15100,-8.341,-2.256,-3.006,0.076,0.017,0.119,0.123,598.52276,0.099094273,c1,598.52276,0.099094273,0
15200,6.104,-0.627,-7.754,-0.017,0.062,0.167,0.102,602.48278,0.099284548,c1,602.48278,0.099284548,0
15300,6.911,-4.35,-7.779,0.109,0.085,0.236,0.113,606.4428,0.099469375,c1,606.4428,0.099469375,0
15400,2.447,-7.254,-6.244,-0.002,-0.034,0.028,0.119,610.40282,0.099648961,c1,610.40282,0.099648961,0
15500,-4.595,-6.395,-4.302,0.041,-0.056,0.077,0.109,614.36284,0.099823522,c1,614.36284,0.099823522,0
15600,12.658,27.861,8.987,-0.043,-0.059,-0.088,0.091,618.32286,0.099993284,c1,618.32286,0.099993284,0
15700,9.114,31.229,3.706,0.096,-0.107,-0.054,0.124,622.28288,0.100158481,c1,622.28288,0.100158481,0
15800,16.524,9.904,-12.477,-0.085,0.137,0.077,0.193,626.2429,0.100319358,c1,626.2429,0.100319358,0
15900,2.15,5.14,-10.261,-0.045,0.153,0.105,0.182,630.2429,0.100319358,c1,630.2429,0.100319358,0
16000,17.057,12.194,17.778,-0.117,-0.049,-0.218,0.105,634.20292,0.100476168,c1,634.20292,0.100476168,0
16100,21.237,7.599,-15.03,-0.027,0.101,0.069,0.13,638.16294,0.100629168,c1,638.16294,0.100629168,0
16200,6.552,12.089,14.347,0.229,0.018,0.096,0.115,642.12296,0.100778628,c1,642.12296,0.100778628,0
16300,-0.103,4.455,3.915,-0.045,-0.055,-0.127,0.098,646.08298,0.100924819,c1,646.08298,0.100924819,0
16400,9.857,8.275,23.799,-0.031,-0.091,-0.106,0.108,650.043,0.101179763,c1,650.043,0.101179763,0
16500,27.304,4.318,28.076,-0.06,-0.202,-0.119,0.126,654.00302,0.101597472,c1,654.00302,0.101597472,0
16600,-3.279,9.742,1.538,0.086,-0.03,0.195,0.127,657.96304,0.102021537,c1,657.96304,0.102021537,0
16700,26.059,6.368,28.74,0.18,0.083,0.098,0.116,661.92306,0.102451651,c1,661.92306,0.102451651,0
16800,16.752,15.059,-8.985,-0.218,0.037,0.037,0.108,665.88308,0.102887502,c1,665.88308,0.102887502,0
16900,11.217,-13.012,-4.704,0.192,-0.103,-0.048,0.217,669.8431,0.103328774,c1,669.8431,0.103328774,0
17000,23.566,12.06,27.001,-0.083,-0.032,-0.25,0.128,673.8431,0.103328774,c1,673.8431,0.103328774,0
17100,1.469,7.381,-10.09,-0.139,-0.059,0.119,0.098,677.80312,0.103775148,c1,677.80312,0.103775148,0
17200,3.278,9.817,17.707,-0.132,-0.175,-0.105,0.101,681.76314,0.104226303,c1,681.76314,0.104226303,0
17300,27.319,14.879,28.544,0.07,0.088,0.102,0.084,685.72316,0.104681915,c1,685.72316,0.104681915,0
17400,17.93,3.949,-8.234,-0.072,-0.009,-0.007,0.084,689.68318,0.105141659,c1,689.68318,0.105141659,0
17500,3.18,5.829,15.95,-0.111,0.011,-0.216,0.098,693.6432,0.105605209,c1,693.6432,0.105605209,0
17600,-14.705,-5.917,-1.978,0.03,-0.059,-0.05,0.12,697.60322,0.106072235,c1,697.60322,0.106072235,0
17700,-6.678,-1.162,-4.216,0.073,-0.117,-0.089,0.1,701.56324,0.106542412,c1,701.56324,0.106542412,0
17800,-0.942,20.155,1.742,-0.122,-0.101,-0.02,0.118,705.52326,0.107015412,c1,705.52326,0.107015412,0
17900,8.588,3.04,-14.613,-0.087,0.091,-0.01,0.112,709.48328,0.107490906,c1,709.48328,0.107490906,0
18000,8.459,10.699,-10.678,-0.058,-0.018,-0.012,0.157,713.4433,0.10796857,c1,713.4433,0.10796857,0
18100,-4.871,1.244,-10.692,-0.103,-0.095,0.052,0.128,717.4433,0.10796857,c1,717.4433,0.10796857,0
18200,-9.408,0.613,6.737,0.168,0.029,0.022,0.097,721.40332,0.108448077,c1,721.40332,0.108448077,0
18300,4.091,-6.983,2.11,0.073,0.11,0.006,0.1,725.36334,0.108929106,c1,725.36334,0.108929106,0
18400,8.942,6.113,-13.356,-0.13,-0.206,0.025,0.102,729.32336,0.109411335,c1,729.32336,0.109411335,0
18500,7.436,3.725,-11.619,0.03,-0.206,-0.143,0.103,733.28338,0.109894445,c1,733.28338,0.109894445,0
18600,12.496,6.91,-13.85,0.088,0.02,-0.183,0.118,737.2434,0.110378122,c1,737.2434,0.110378122,0
18700,5.5,15.066,11.285,0.005,-0.044,0.14,0.119,741.20342,0.110862053,c1,741.20342,0.110862053,0
18800,-5.841,14.166,0.005,-0.014,-0.028,0.075,0.096,745.16344,0.111345929,c1,745.16344,0.111345929,0
18900,1.14,-1.99,13.346,-0.069,0.073,-0.148,0.109,749.12346,0.111829446,c1,749.12346,0.111829446,0
19000,7.275,6.222,2.655,-0.122,0.215,0.176,0.102,753.08348,0.112312304,c1,753.08348,0.112312304,0
19100,19.345,5.998,-22.29,-0.089,-0.124,-0.338,0.175,757.0435,0.112794207,c1,757.0435,0.112794207,0
19200,-6.144,-7.045,5.097,0.013,-0.259,-0.098,0.136,761.0435,0.112794207,c1,761.0435,0.112794207,0
19300,24.16,17.329,-13.34,-0.039,-0.014,-0.165,0.111,765.00352,0.113274865,c1,765.00352,0.113274865,0
19400,-5.696,-3.676,2.601,-0.04,-0.069,-0.097,0.109,768.96354,0.113753993,c1,768.96354,0.113753993,0
19500,-4.028,2.554,14.463,-0.008,0.09,-0.18,0.111,772.92356,0.11423131,c1,772.92356,0.11423131,0
19600,15.29,13.335,24.059,0.022,0.061,-0.063,0.102,776.88358,0.114706544,c1,776.88358,0.114706544,0
19700,35.677,14.695,32.617,0.117,0.085,0.015,0.102,780.8436,0.115179426,c1,780.8436,0.115179426,0
19800,34.377,7.409,34.659,-0.053,-0.139,-0.146,0.14,784.80362,0.115649696,c1,784.80362,0.115649696,0
19900,41.243,2.324,40.569,-0.001,-0.035,-0.13,0.109,788.76364,0.116117099,c1,788.76364,0.116117099,0
20000,23.838,9.513,-16.075,-0.032,0.014,-0.236,0.143,792.72366,0.116581387,c1,792.72366,0.116581387,0
20100,21.321,-5.671,-10.396,0.045,0.152,0.17,0.122,796.68368,0.117042322,c1,796.68368,0.117042322,0
20200,22.607,12.678,-24.431,0.155,0.09,-0.456,0.255,800.6437,0.117499668,c1,800.6437,0.117499668,0
20300,-1.251,-4.814,14.953,-0.51,-0.115,-0.07,0.15,804.6437,0.117499668,c1,804.6437,0.117499668,0
20400,-8.762,1.951,-12.96,0.138,0.204,0.334,0.106,808.60372,0.117953202,c1,808.60372,0.117953202,0
20500,5.458,-3.042,-1.224,0.048,0.159,0.118,0.123,812.56374,0.118402707,c1,812.56374,0.118402707,0
20600,27.462,19.117,34.241,-0.036,-0.065,-0.125,0.098,816.52376,0.118847972,c1,816.52376,0.118847972,0
20700,24.848,6.699,-15.706,0.007,0.159,0.197,0.101,820.48378,0.119288796,c1,820.48378,0.119288796,0
20800,41.554,13.206,41.123,-0.119,0.036,0.113,0.109,824.4438,0.119724988,c1,824.4438,0.119724988,0
20900,-8.366,4.415,1.709,0.092,-0.119,0.044,0.117,828.40382,0.120156362,c1,828.40382,0.120156362,1
21000,25.5,5.285,-12.927,-0.033,0.031,0.084,0.139,832.36384,0.120582744,c1,832.36384,0.120582744,1
21100,-3.155,0.64,16.718,-0.068,0.021,0.025,0.111,836.32386,0.121003967,c1,836.32386,0.121003967,1
21200,-16.414,7.064,-0.564,0.296,-0.111,0.136,0.158,840.28388,0.121419872,c1,840.28388,0.121419872,1
21300,40.848,13.367,-14.628,-0.087,0.069,-0.139,0.202,844.28388,0.121419872,c1,844.28388,0.121419872,1
21400,-6.867,-1.68,2.009,0.089,-0.028,-0.272,0.096,848.2439,0.121830313,c1,848.2439,0.121830313,1
21500,-11.539,-1.188,4.423,0.249,0.1,0.253,0.114,852.20392,0.122235149,c1,852.20392,0.122235149,1
21600,16.554,5.665,-23.732,-0.103,0.031,0.158,0.122,856.16394,0.12263425,c1,856.16394,0.12263425,1
21700,-11.666,-2.573,-17.04,-0.102,-0.055,0.124,0.113,860.12396,0.123027496,c1,860.12396,0.123027496,1
21800,21.107,7.528,-14.519,0.012,0.079,0.019,0.099,864.08398,0.123414775,c1,864.08398,0.123414775,1
21900,-4.758,-10.577,-13.323,0.003,-0.014,0.132,0.111,868.044,0.123795988,c1,868.044,0.123795988,1
22000,19.568,7.545,30.047,0.138,0.007,0.046,0.106,872.00402,0.12417104,c1,872.00402,0.12417104,1
22100,37.124,20.811,31.781,0.024,-0.212,0.049,0.109,875.96404,0.124539851,c1,875.96404,0.124539851,1
22200,-24.261,-6.161,-3.301,0.031,-0.068,-0.201,0.133,879.92406,0.124902347,c1,879.92406,0.124902347,1
22300,3.581,14.048,-1.51,-0.097,0.176,0.0,0.152,883.88408,0.125258466,c1,883.88408,0.125258466,1
22400,60.337,24.509,44.74,0.043,0.346,-0.298,0.148,887.88408,0.125258466,c1,887.88408,0.125258466,1
22500,33.785,20.446,-16.942,-0.109,-0.086,-0.1,0.118,891.8441,0.125608155,c1,891.8441,0.125608155,1
22600,27.341,5.769,-8.483,-0.077,0.11,0.047,0.115,895.80412,0.12595137,c1,895.80412,0.12595137,1
22700,29.267,3.258,-11.338,0.002,0.09,0.039,0.089,899.76414,0.126288078,c1,899.76414,0.126288078,1
22800,58.451,22.529,46.632,0.088,0.221,0.046,0.087,903.72416,0.126618256,c1,903.72416,0.126618256,1
