force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,timestamp,tool_wear,experiment_tag,time,VB_mm,ACTION_CODE
3.878,1.984,16.519,-0.094,-0.164,0.068,0.097,214.041,0.100482292,c6,214.041,0.100482292,0
7.327,4.734,-1.481,-0.049,0.123,-0.172,0.07,218.00102,0.100907602,c6,218.00102,0.100907602,0
2.089,0.404,13.156,-0.085,-0.198,-0.064,0.164,221.96104,0.101332912,c6,221.96104,0.101332912,0
8.683,3.515,-1.087,0.014,0.017,-0.051,0.125,225.96104,0.101332912,c6,225.96104,0.101332912,0
8.753,4.001,0.603,0.033,-0.005,-0.065,0.094,229.92106,0.101758222,c6,229.92106,0.101758222,0
10.262,11.914,5.153,-0.041,-0.094,-0.101,0.076,233.88108,0.102183532,c6,233.88108,0.102183532,0
11.387,5.79,-5.35,0.001,0.104,0.084,0.102,237.8411,0.102608842,c6,237.8411,0.102608842,0
13.447,6.955,-2.808,0.075,0.115,0.155,0.107,241.80112,0.103034152,c6,241.80112,0.103034152,0
6.843,-1.765,-3.378,0.112,0.107,0.208,0.11,245.76114,0.103459462,c6,245.76114,0.103459462,0
2.94,-0.725,3.303,-0.06,-0.111,-0.134,0.133,249.72116,0.103884772,c6,249.72116,0.103884772,0
10.641,7.785,16.117,-0.019,0.065,0.105,0.072,253.68118,0.104310082,c6,253.68118,0.104310082,0
5.2,4.635,-6.104,-0.025,0.17,-0.099,0.094,257.6412,0.104735392,c6,257.6412,0.104735392,0
5.775,-0.113,16.923,0.069,-0.086,0.281,0.08,261.60122,0.105160702,c6,261.60122,0.105160702,0
4.932,5.515,1.438,-0.028,0.096,-0.086,0.156,265.56124,0.105586012,c6,265.56124,0.105586012,0
4.126,3.125,2.475,-0.038,0.219,0.194,0.116,269.56124,0.105586012,c6,269.56124,0.105586012,0
6.243,2.669,-0.456,-0.04,0.049,0.106,0.101,273.52126,0.106011322,c6,273.52126,0.106011322,0
3.172,-0.793,3.728,0.043,0.071,-0.03,0.079,277.48128,0.106436632,c6,277.48128,0.106436632,0
0.944,1.227,-2.045,0.006,0.09,0.065,0.091,281.4413,0.10649072,c6,281.4413,0.10649072,0
11.154,4.208,18.351,0.136,0.01,0.183,0.077,285.40132,0.106544807,c6,285.40132,0.106544807,0
-0.473,3.305,3.37,-0.063,-0.072,-0.141,0.116,289.36134,0.106598895,c6,289.36134,0.106598895,0
11.349,-0.928,20.765,0.137,-0.103,0.034,0.074,293.32136,0.106652982,c6,293.32136,0.106652982,0
2.338,7.436,-0.81,-0.034,-0.179,-0.3,0.083,297.28138,0.106707069,c6,297.28138,0.106707069,0
12.339,3.614,16.798,-0.04,0.13,-0.026,0.093,301.2414,0.106761157,c6,301.2414,0.106761157,0
4.236,21.543,3.484,0.062,0.039,0.045,0.076,305.20142,0.10683047,c6,305.20142,0.10683047,0
-0.314,5.398,2.175,0.002,-0.187,-0.323,0.157,309.16144,0.107401398,c6,309.16144,0.107401398,0
1.45,2.078,2.23,0.1,0.033,0.084,0.163,313.16144,0.107401398,c6,313.16144,0.107401398,0
1.699,3.328,7.75,0.117,0.088,0.049,0.089,317.12146,0.107956831,c6,317.12146,0.107956831,0
7.022,0.742,8.163,-0.295,-0.193,-0.232,0.081,321.08148,0.108496189,c6,321.08148,0.108496189,0
10.696,14.105,17.977,0.136,0.121,0.054,0.106,325.0415,0.109018932,c6,325.0415,0.109018932,0
2.241,3.867,6.911,0.054,0.067,0.006,0.104,329.00152,0.109524563,c6,329.00152,0.109524563,0
14.325,-2.329,-6.045,-0.068,0.07,0.045,0.099,332.96154,0.110012625,c6,332.96154,0.110012625,0
3.355,1.183,11.551,-0.046,-0.281,-0.126,0.065,336.92156,0.110482705,c6,336.92156,0.110482705,0
15.484,0.216,22.183,0.014,0.076,0.089,0.072,340.88158,0.110934433,c6,340.88158,0.110934433,0
-1.081,-10.161,-4.571,-0.02,-0.219,-0.142,0.091,344.8416,0.111367479,c6,344.8416,0.111367479,0
2.201,17.236,2.053,0.053,0.089,-0.091,0.083,348.80162,0.11178156,c6,348.80162,0.11178156,0
6.796,-0.809,17.005,-0.026,0.092,0.471,0.147,352.76164,0.112176434,c6,352.76164,0.112176434,0
4.83,1.898,4.809,-0.11,-0.142,-0.086,0.119,356.76164,0.112176434,c6,356.76164,0.112176434,0
11.993,7.948,16.543,-0.202,0.23,-0.016,0.096,360.72166,0.112551902,c6,360.72166,0.112551902,0
4.505,4.076,-4.848,0.053,-0.014,-0.07,0.072,364.68168,0.112907808,c6,364.68168,0.112907808,0
2.152,0.155,6.767,0.005,-0.163,0.055,0.109,368.6417,0.113244037,c6,368.6417,0.113244037,0
8.101,18.936,12.584,0.134,0.071,0.124,0.094,372.60172,0.113560519,c6,372.60172,0.113560519,0
5.816,11.987,0.486,0.043,0.093,0.05,0.108,376.56174,0.113857224,c6,376.56174,0.113857224,0
7.706,-0.858,-3.893,-0.048,0.1,-0.035,0.073,380.52176,0.114134163,c6,380.52176,0.114134163,0
15.285,6.061,23.1,0.018,0.077,0.13,0.073,384.48178,0.114391387,c6,384.48178,0.114391387,0
16.757,2.861,24.067,0.091,0.057,0.318,0.075,388.4418,0.114628989,c6,388.4418,0.114628989,0
8.103,25.095,14.087,0.05,0.282,-0.234,0.082,392.40182,0.114847099,c6,392.40182,0.114847099,0
7.066,25.562,15.931,-0.078,0.356,-0.247,0.189,396.36184,0.115045886,c6,396.36184,0.115045886,0
10.856,9.871,19.233,0.068,0.126,0.026,0.117,400.36184,0.115045886,c6,400.36184,0.115045886,0
7.606,6.514,0.795,-0.167,-0.061,-0.219,0.087,404.32186,0.115225558,c6,404.32186,0.115225558,0
10.255,9.99,18.855,-0.064,0.094,0.066,0.073,408.28188,0.115386357,c6,408.28188,0.115386357,0
10.005,0.921,-7.053,-0.075,0.14,-0.041,0.073,412.2419,0.115528563,c6,412.2419,0.115528563,0
14.372,9.323,20.539,-0.206,-0.292,-0.21,0.079,416.20192,0.115652489,c6,416.20192,0.115652489,0
8.772,3.786,-3.334,0.03,0.156,-0.044,0.095,420.16194,0.115758482,c6,420.16194,0.115758482,0
-2.531,7.928,6.218,-0.017,-0.314,-0.185,0.087,424.12196,0.115846922,c6,424.12196,0.115846922,0
6.236,5.93,14.606,-0.172,-0.03,0.187,0.078,428.08198,0.115918219,c6,428.08198,0.115918219,0
7.104,3.646,-4.81,-0.073,0.24,-0.072,0.087,432.042,0.115972816,c6,432.042,0.115972816,0
12.957,2.201,21.388,0.053,0.077,0.397,0.079,436.00202,0.116011181,c6,436.00202,0.116011181,0
16.868,15.283,20.142,0.045,0.258,0.118,0.19,439.96204,0.116033812,c6,439.96204,0.116033812,0
4.137,6.584,-3.761,-0.082,0.196,-0.008,0.128,443.96204,0.116033812,c6,443.96204,0.116033812,0
7.65,1.942,-2.777,-0.058,0.004,-0.018,0.07,447.92206,0.116041232,c6,447.92206,0.116041232,0
6.626,0.933,6.253,0.07,-0.309,-0.024,0.073,451.88208,0.116041232,c6,451.88208,0.116041232,0
11.671,8.758,19.909,-0.006,-0.163,-0.14,0.086,455.8421,0.116041232,c6,455.8421,0.116041232,0
11.084,16.006,19.388,0.104,0.316,0.216,0.097,459.80212,0.116041232,c6,459.80212,0.116041232,0
11.419,16.304,19.199,-0.062,0.184,0.026,0.093,463.76214,0.116041232,c6,463.76214,0.116041232,0
2.551,6.456,-5.674,-0.109,0.385,-0.076,0.09,467.72216,0.116041232,c6,467.72216,0.116041232,0
8.584,20.897,13.751,-0.179,0.062,-0.221,0.083,471.68218,0.116041232,c6,471.68218,0.116041232,0
5.687,-4.475,-3.893,-0.038,-0.332,-0.017,0.086,475.6422,0.116041232,c6,475.6422,0.116041232,0
11.035,-7.346,-6.668,0.011,-0.421,-0.048,0.091,479.60222,0.116041232,c6,479.60222,0.116041232,0
-0.451,0.021,9.66,0.047,-0.491,-0.063,0.271,483.56224,0.116041232,c6,483.56224,0.116041232,0
5.035,6.455,-2.657,-0.085,0.24,0.12,0.142,487.56224,0.116041232,c6,487.56224,0.116041232,0
8.073,11.357,10.266,0.097,-0.45,-0.222,0.094,491.52226,0.116041232,c6,491.52226,0.116041232,0
5.691,-1.587,-5.439,0.186,0.043,0.094,0.072,495.48228,0.116041232,c6,495.48228,0.116041232,0
10.041,9.126,15.522,0.045,-0.182,0.034,0.102,499.4423,0.116041232,c6,499.4423,0.116041232,0
10.136,7.139,16.447,-0.051,-0.199,0.025,0.113,503.40232,0.116041232,c6,503.40232,0.116041232,0
0.362,-3.32,-5.348,0.001,-0.216,-0.097,0.079,507.36234,0.116041232,c6,507.36234,0.116041232,0
2.648,16.573,5.4,0.014,-0.028,0.023,0.098,511.32236,0.116041232,c6,511.32236,0.116041232,0
0.452,0.578,-6.276,0.034,-0.02,0.138,0.087,515.28238,0.116041232,c6,515.28238,0.116041232,0
-1.833,-8.481,-8.269,0.049,-0.286,0.297,0.129,519.2424,0.116041232,c6,519.2424,0.116041232,0
22.363,2.207,26.814,0.059,0.316,0.588,0.107,523.20242,0.116041232,c6,523.20242,0.116041232,0
0.031,3.347,1.8,0.095,0.058,0.079,-0.005,527.16244,0.116041232,c6,527.16244,0.116041232,0
2.547,-0.373,7.653,-0.121,0.082,0.221,0.137,531.16244,0.116041232,c6,531.16244,0.116041232,0
16.714,7.377,23.166,-0.293,-0.069,-0.273,0.073,535.12246,0.116041232,c6,535.12246,0.116041232,0
-0.985,4.348,-3.313,0.149,-0.007,-0.072,0.077,539.08248,0.116041232,c6,539.08248,0.116041232,0
22.204,10.452,27.188,-0.065,0.236,-0.003,0.135,543.0425,0.116041232,c6,543.0425,0.116041232,0
26.644,9.136,28.614,0.133,0.173,0.171,0.13,547.00252,0.116041232,c6,547.00252,0.116041232,0
9.492,6.432,17.471,-0.199,-0.22,-0.132,0.086,550.96254,0.116041232,c6,550.96254,0.116041232,0
11.429,26.382,16.981,-0.01,0.288,0.083,0.12,554.92256,0.116041232,c6,554.92256,0.116041232,0
4.764,28.67,6.324,-0.091,0.143,-0.127,0.073,558.88258,0.116060333,c6,558.88258,0.116060333,0
25.092,-4.473,26.692,-0.343,0.017,0.105,0.088,562.8426,0.116273243,c6,562.8426,0.116273243,0
15.521,1.602,-11.856,-0.16,0.193,-0.008,0.129,566.80262,0.116486152,c6,566.80262,0.116486152,0
0.442,-3.272,6.136,0.053,-0.004,0.499,0.182,570.80262,0.116486152,c6,570.80262,0.116486152,0
-5.453,3.16,0.784,0.105,0.018,0.074,0.12,574.76264,0.116699061,c6,574.76264,0.116699061,0
17.18,6.713,15.616,0.345,-0.194,0.003,0.084,578.72266,0.11691197,c6,578.72266,0.11691197,0
5.365,0.911,-1.821,-0.153,0.076,-0.103,0.082,582.68268,0.117124879,c6,582.68268,0.117124879,0
7.435,9.809,15.372,0.099,0.099,0.338,0.105,586.6427,0.117337788,c6,586.6427,0.117337788,0
15.481,0.428,-7.058,0.116,-0.06,0.051,0.114,590.60272,0.117550697,c6,590.60272,0.117550697,0
11.645,7.952,-7.505,-0.034,0.091,-0.018,0.106,594.56274,0.117763606,c6,594.56274,0.117763606,0
22.5,2.521,-6.268,0.018,0.06,0.329,0.103,598.52276,0.117976516,c6,598.52276,0.117976516,0
15.162,-0.133,21.587,0.092,-0.18,0.064,0.079,602.48278,0.118189425,c6,602.48278,0.118189425,0
-2.957,3.869,6.881,0.069,-0.209,0.085,0.081,606.4428,0.118402334,c6,606.4428,0.118402334,0
0.776,4.425,1.259,0.022,0.009,0.007,-0.005,610.40282,0.118615243,c6,610.40282,0.118615243,0
0.32,-0.226,8.001,0.132,-0.181,0.205,0.131,614.40282,0.118615243,c6,614.40282,0.118615243,0
18.485,8.586,25.517,-0.263,0.24,-0.082,0.092,618.36284,0.118828152,c6,618.36284,0.118828152,0
9.549,-2.647,-7.178,0.209,0.052,0.095,0.083,622.32286,0.119041061,c6,622.32286,0.119041061,0
10.289,6.631,-8.364,-0.199,0.265,-0.051,0.114,626.28288,0.11925397,c6,626.28288,0.11925397,0
10.911,13.698,20.079,-0.098,-0.102,-0.006,0.098,630.2429,0.119466879,c6,630.2429,0.119466879,0
9.192,-5.56,-7.397,-0.108,-0.293,-0.063,0.103,634.20292,0.119679789,c6,634.20292,0.119679789,0
1.684,4.042,4.749,-0.004,0.046,0.081,0.098,638.16294,0.119892698,c6,638.16294,0.119892698,0
11.779,17.196,17.454,-0.109,0.022,-0.346,0.085,642.12296,0.120105607,c6,642.12296,0.120105607,0
-1.481,-1.208,12.253,0.071,0.065,0.111,0.09,646.08298,0.120318516,c6,646.08298,0.120318516,0
15.583,-1.977,23.677,-0.023,-0.39,0.312,0.164,650.043,0.120531425,c6,650.043,0.120531425,0
11.48,4.342,-5.76,-0.143,0.216,-0.026,0.203,654.043,0.120531425,c6,654.043,0.120531425,0
21.604,6.514,-8.02,0.074,0.324,0.095,0.107,658.00302,0.120744334,c6,658.00302,0.120744334,0
-1.354,-3.249,-0.206,-0.034,0.168,0.24,0.112,661.96304,0.120957243,c6,661.96304,0.120957243,0
16.127,11.514,23.076,0.015,-0.061,-0.077,0.11,665.92306,0.121170152,c6,665.92306,0.121170152,0
-2.589,7.858,8.245,-0.097,0.122,0.1,0.12,669.88308,0.121383062,c6,669.88308,0.121383062,0
15.716,11.938,24.241,-0.221,0.275,0.21,0.076,673.8431,0.121595971,c6,673.8431,0.121595971,0
35.585,5.246,34.402,-0.031,0.294,0.471,0.115,677.80312,0.12180888,c6,677.80312,0.12180888,0
27.991,5.77,33.709,-0.101,0.406,0.144,0.112,681.76314,0.122021789,c6,681.76314,0.122021789,0
20.391,2.309,27.629,-0.35,-0.104,0.057,0.081,685.72316,0.122234698,c6,685.72316,0.122234698,0
-8.231,12.173,-0.456,0.066,-0.188,-0.074,0.08,689.68318,0.122447607,c6,689.68318,0.122447607,0
19.309,-6.037,-5.491,0.219,-0.725,0.058,0.144,693.6432,0.122660516,c6,693.6432,0.122660516,0
1.566,-1.87,0.915,0.039,-0.066,0.325,0.181,697.6432,0.122660516,c6,697.6432,0.122660516,0
-0.245,-0.519,4.55,-0.02,0.306,0.186,0.098,701.60322,0.122900794,c6,701.60322,0.122900794,0
0.64,2.455,8.949,0.075,0.223,0.243,0.09,705.56324,0.123141072,c6,705.56324,0.123141072,0
11.648,8.252,16.476,-0.456,0.258,0.003,0.091,709.52326,0.123381349,c6,709.52326,0.123381349,0
36.124,13.714,33.425,0.117,0.009,-0.049,0.082,713.48328,0.123621627,c6,713.48328,0.123621627,0
1.223,3.377,-1.109,0.025,0.064,0.072,0.096,717.4433,0.123861905,c6,717.4433,0.123861905,0
27.401,9.743,27.402,0.152,-0.197,0.218,0.097,721.40332,0.124102182,c6,721.40332,0.124102182,0
-13.899,3.539,-6.975,0.298,-0.075,0.094,0.092,725.36334,0.12434246,c6,725.36334,0.12434246,0
37.788,6.586,35.687,-0.154,0.339,-0.44,0.087,729.32336,0.124582738,c6,729.32336,0.124582738,0
25.123,-4.221,-11.27,-0.325,0.27,-0.001,0.089,733.28338,0.124823015,c6,733.28338,0.124823015,0
-6.314,11.336,4.167,0.017,0.061,-0.052,0.106,737.2434,0.125063293,c6,737.2434,0.125063293,0
38.434,20.41,29.315,-0.041,-0.146,-0.172,0.097,741.2434,0.125063293,c6,741.2434,0.125063293,0
19.968,13.277,-4.257,0.102,0.17,-0.121,0.086,745.20342,0.125303571,c6,745.20342,0.125303571,0
2.071,2.819,-6.53,0.048,-0.256,-0.026,0.109,749.16344,0.125543848,c6,749.16344,0.125543848,0
22.903,0.997,-14.623,-0.05,0.144,-0.073,0.095,753.12346,0.125784126,c6,753.12346,0.125784126,0
19.284,5.056,-12.177,0.007,0.313,-0.027,0.097,757.08348,0.126024404,c6,757.08348,0.126024404,0
-1.124,5.325,-0.922,0.196,-0.042,-0.013,0.1,761.0435,0.126264681,c6,761.0435,0.126264681,0
8.977,6.665,-8.732,-0.066,0.373,0.098,0.102,765.00352,0.126504959,c6,765.00352,0.126504959,0
-1.196,-10.115,-10.249,-0.035,-0.068,0.276,0.079,768.96354,0.126745237,c6,768.96354,0.126745237,0
24.326,23.581,26.612,-0.173,0.356,0.185,0.091,772.92356,0.126985514,c6,772.92356,0.126985514,0
36.561,-0.294,32.345,0.206,-0.844,0.316,0.079,776.88358,0.127225792,c6,776.88358,0.127225792,0
1.789,2.632,-0.255,0.029,-0.002,0.002,-0.005,780.8436,0.12746607,c6,780.8436,0.12746607,0
3.789,-4.596,-3.659,0.256,-0.455,0.254,0.137,784.8436,0.12746607,c6,784.8436,0.12746607,0
22.411,11.105,-7.275,0.255,0.331,0.161,0.087,788.80362,0.127706347,c6,788.80362,0.127706347,0
-1.585,5.027,9.768,-0.336,-0.019,-0.097,0.121,792.76364,0.127946625,c6,792.76364,0.127946625,0
-8.401,0.417,-5.607,0.155,-0.088,-0.17,0.078,796.72366,0.128186903,c6,796.72366,0.128186903,0
23.131,11.51,23.009,0.415,-0.506,0.259,0.095,800.68368,0.12842718,c6,800.68368,0.12842718,0
11.24,-1.812,-7.284,-0.012,-0.156,-0.116,0.123,804.6437,0.128667458,c6,804.6437,0.128667458,0
-11.137,0.68,-2.979,0.063,0.055,0.324,0.104,808.60372,0.128907736,c6,808.60372,0.128907736,0
3.887,6.908,-4.646,-0.024,-0.006,-0.213,0.083,812.56374,0.129148013,c6,812.56374,0.129148013,0
32.677,20.852,31.223,-0.102,0.59,0.178,0.13,816.52376,0.129388291,c6,816.52376,0.129388291,0
13.834,11.005,-10.249,-0.265,0.615,-0.331,0.115,820.48378,0.129628569,c6,820.48378,0.129628569,0
1.774,2.907,-0.92,0.037,0.018,0.011,-0.005,824.4438,0.129868846,c6,824.4438,0.129868846,0
18.116,0.315,19.271,-0.266,-0.2,0.05,0.139,828.4438,0.129868846,c6,828.4438,0.129868846,0
26.702,9.787,-11.642,0.261,0.047,-0.124,0.08,832.40382,0.130109124,c6,832.40382,0.130109124,1
-5.973,2.888,5.959,0.143,-0.386,-0.181,0.101,836.36384,0.130349402,c6,836.36384,0.130349402,1
50.368,19.709,37.47,-0.145,0.054,-0.028,0.095,840.32386,0.131033078,c6,840.32386,0.131033078,1
-6.772,4.09,5.077,0.287,-0.02,0.304,0.1,844.28388,0.131716754,c6,844.28388,0.131716754,1
-8.841,7.802,3.98,0.047,0.098,0.334,0.103,848.2439,0.132400431,c6,848.2439,0.132400431,1
-16.434,-8.164,-7.267,0.027,-0.558,-0.129,0.099,852.20392,0.133084107,c6,852.20392,0.133084107,1
32.281,0.743,-10.692,-0.072,0.232,-0.259,0.119,856.16394,0.133767783,c6,856.16394,0.133767783,1
7.254,-11.088,-13.11,0.289,-0.375,0.072,0.1,860.12396,0.13445146,c6,860.12396,0.13445146,1
30.386,-6.073,-14.47,0.137,0.039,-0.017,0.102,864.08398,0.135135136,c6,864.08398,0.135135136,1
1.92,3.255,1.218,0.044,0.039,0.02,-0.005,868.044,0.135818813,c6,868.044,0.135818813,1
56.203,24.704,37.723,0.202,0.276,-0.71,0.105,872.044,0.135818813,c6,872.044,0.135818813,1
4.617,9.087,-3.552,-0.026,-0.197,-0.194,0.089,876.00402,0.136502489,c6,876.00402,0.136502489,1
40.826,19.153,39.825,0.189,0.133,-0.095,0.089,879.96404,0.137186165,c6,879.96404,0.137186165,1
47.847,18.026,40.102,0.034,0.013,-0.424,0.101,883.92406,0.137869842,c6,883.92406,0.137869842,1
-4.183,3.569,-1.273,0.061,-0.018,0.049,0.094,887.88408,0.138553518,c6,887.88408,0.138553518,1
35.158,12.812,30.848,-0.174,0.389,-0.007,0.097,891.8441,0.139237194,c6,891.8441,0.139237194,1
-6.883,5.617,2.063,0.212,-0.224,0.112,0.105,895.80412,0.139920871,c6,895.80412,0.139920871,1
32.055,9.739,32.429,-0.089,-0.254,0.178,0.102,899.76414,0.140604547,c6,899.76414,0.140604547,1
-10.51,28.456,5.084,0.1,-0.176,0.096,0.102,903.72416,0.141288224,c6,903.72416,0.141288224,1
47.026,13.182,37.614,-0.029,0.274,-0.061,0.112,907.68418,0.1419719,c6,907.68418,0.1419719,1
1.879,3.269,0.332,0.035,0.035,0.035,-0.005,911.6442,0.142655576,c6,911.6442,0.142655576,1
37.547,4.388,-12.685,-0.164,0.092,-0.695,0.123,915.6442,0.142655576,c6,915.6442,0.142655576,1
12.345,2.417,-10.993,-0.03,0.32,0.036,0.104,919.60422,0.143339253,c6,919.60422,0.143339253,1
38.387,7.804,-16.567,0.251,0.276,-0.029,0.122,923.56424,0.144022929,c6,923.56424,0.144022929,1
-18.047,3.971,5.118,0.332,-0.163,0.304,0.095,927.52426,0.144706605,c6,927.52426,0.144706605,1
-21.905,-0.545,-2.494,-0.128,-0.382,0.121,0.118,931.48428,0.145390282,c6,931.48428,0.145390282,1
-6.723,3.086,8.901,-0.034,0.031,0.081,0.119,935.4443,0.146073958,c6,935.4443,0.146073958,1
44.172,13.765,37.012,0.148,-0.28,0.303,0.097,939.40432,0.146757634,c6,939.40432,0.146757634,1
30.323,12.036,-15.274,-0.113,0.443,-0.075,0.094,943.36434,0.147441311,c6,943.36434,0.147441311,1
14.307,26.049,28.125,0.003,0.466,0.314,0.096,947.32436,0.148124987,c6,947.32436,0.148124987,1
27.481,5.323,-15.195,-0.235,0.414,-0.567,0.123,951.28438,0.148808664,c6,951.28438,0.148808664,1
0.709,3.678,0.254,0.046,0.034,0.025,-0.005,955.2444,0.14949234,c6,955.2444,0.14949234,1
