force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
9.156,17.921,14.133,-0.02,-0.081,-0.093,0.101,0.092756286,0
5.11,15.535,6.301,-0.167,-0.195,-0.214,0.11,0.092984535,0
8.254,-1.093,-4.153,-0.159,-0.219,-0.18,0.11,0.093194718,0
5.222,16.45,6.34,-0.059,-0.02,-0.108,0.075,0.093387384,0
1.646,15.384,1.149,-0.027,-0.047,-0.036,0.124,0.09356309,0
1.33,-11.696,2.416,0.254,0.171,-0.106,0.083,0.093722403,0
9.936,-2.299,-8.237,0.133,-0.06,-0.098,0.184,0.093865896,0
3.21,4.14,-1.63,-0.145,-0.087,-0.069,0.21,0.093865896,0
2.501,0.989,1.865,0.091,0.078,0.034,0.121,0.093994151,0
-1.093,1.465,1.715,0.007,0.112,-0.013,0.117,0.094107753,0
1.674,3.642,3.376,0.062,0.058,-0.017,0.101,0.094207293,0
6.875,10.6,3.283,-0.143,-0.05,-0.024,0.106,0.094293363,0
11.31,2.721,16.868,-0.106,-0.214,-0.226,0.104,0.094366558,0
9.485,-6.824,18.558,0.08,0.031,-0.063,0.086,0.094427473,0
4.019,3.488,-0.786,-0.009,0.014,-0.008,0.085,0.094476703,0
2.271,17.295,4.211,-0.055,-0.018,-0.072,0.11,0.094514843,0
7.157,24.122,5.433,-0.063,-0.026,-0.042,0.08,0.094542484,0
6.704,2.862,13.694,-0.019,-0.143,0.141,0.166,0.094560216,0
8.922,9.452,17.266,0.048,0.086,-0.046,0.177,0.094560216,0
7.619,5.347,8.291,-0.018,0.042,-0.032,0.093,0.094568624,0
5.193,7.995,6.051,0.051,0.043,0.078,0.098,0.094568624,0
8.771,9.633,12.367,0.054,-0.098,-0.097,0.085,0.094568624,0
0.648,-2.03,-4.941,0.008,0.12,0.1,0.108,0.094568624,0
8.672,5.655,16.32,0.145,-0.001,-0.038,0.097,0.094568624,0
2.441,14.257,7.481,-0.028,-0.039,-0.001,0.074,0.094568624,0
4.732,13.868,-8.025,-0.039,-0.074,-0.131,0.109,0.094568624,0
5.53,15.779,-7.452,-0.076,-0.003,-0.135,0.136,0.094568624,0
12.929,9.836,-4.516,0.07,0.042,0.077,0.088,0.094568624,0
3.675,0.189,1.708,0.062,0.023,-0.061,0.167,0.094568624,0
-4.473,-1.548,-2.442,0.018,-0.039,0.084,0.18,0.094568624,0
10.549,8.726,-4.491,-0.018,0.005,0.107,0.083,0.094568624,0
7.172,11.211,11.491,0.096,0.061,0.136,0.102,0.094568624,0
9.723,1.673,-6.018,-0.007,0.07,0.098,0.066,0.094568624,0
13.452,0.024,-4.893,0.02,0.004,-0.071,0.109,0.094568624,0
0.052,6.841,6.064,-0.186,-0.109,-0.034,0.115,0.094568624,0
-2.057,-4.549,-3.364,0.136,0.032,0.005,0.092,0.094568624,0
8.126,13.851,-1.233,-0.054,-0.07,-0.103,0.118,0.094568624,0
16.056,-5.707,25.303,0.019,-0.023,0.007,0.123,0.094568624,0
7.237,6.588,5.908,0.002,0.04,-0.034,0.091,0.094568624,0
1.718,19.674,4.419,0.06,0.054,-0.003,0.195,0.094568624,0
0.265,-4.004,7.998,0.203,0.145,0.146,0.167,0.094568624,0
8.969,7.824,14.27,-0.039,-0.028,-0.055,0.101,0.094568624,0
-4.2,1.093,5.207,0.002,0.031,-0.162,0.09,0.094568624,0
4.134,5.479,7.347,0.062,0.001,0.068,0.091,0.094568624,0
-0.922,-3.321,-4.108,0.072,-0.017,0.111,0.098,0.094568624,0
-1.258,5.08,7.67,-0.149,-0.08,-0.176,0.099,0.094568624,0
5.87,-6.754,-3.322,0.007,0.046,0.009,0.115,0.094568624,0
4.999,15.194,8.563,0.009,-0.035,0.044,0.091,0.094568624,0
6.067,-0.455,-6.6,0.1,0,-0.119,0.127,0.094568624,0
-5.847,-10.164,-3.006,0.064,-0.087,-0.194,0.089,0.094568624,0
7.925,8.62,1.566,-0.074,0.026,0.171,0.195,0.094568624,0
-2.441,-6.759,2.125,-0.129,-0.193,-0.079,0.136,0.094568624,0
5.634,3.823,-4.296,-0.111,-0.139,-0.197,0.098,0.094568624,0
3.219,-2.081,-5.726,-0.017,0.014,0.054,0.1,0.094568624,0
2.772,-2.595,-10.025,-0.031,0.128,0.116,0.08,0.094568624,0
8.331,-1.676,-6.419,0.045,0.053,0.002,0.101,0.094568624,0
10.449,-0.243,-4.419,-0.015,-0.119,0.086,0.086,0.094568624,0
17.359,1.718,-7.772,-0.044,-0.165,-0.049,0.105,0.094568624,0
14.3,-4.591,26.441,-0.049,-0.105,-0.198,0.079,0.094568624,0
7.722,25.161,3.718,-0.086,-0.042,0.091,0.111,0.094568624,0
4.942,-20.483,0.435,0.126,0.011,0.173,0.116,0.094568624,0
13.747,23.552,10.362,-0.117,-0.031,0,0.228,0.094568624,0
14.286,5.772,-2.5,-0.099,-0.022,-0.009,0.132,0.094568624,0
10.113,7.287,14.567,0.017,0.229,-0.076,0.096,0.094568624,0
5.749,2.07,13.279,-0.086,0.095,-0.194,0.092,0.094568624,0
5.821,10.593,18.362,-0.041,0.13,-0.07,0.102,0.094568624,0
-0.393,-4.703,-6.629,0.041,-0.105,-0.045,0.104,0.094568624,0
3.502,10.05,4.687,-0.066,-0.076,-0.037,0.108,0.094581625,0
1.177,14.492,3.978,0.036,-0.092,-0.063,0.106,0.094889722,0
9.516,2.841,20.902,0.038,0.098,0.096,0.111,0.095191104,0
8.214,4.857,-10.829,-0.045,0.076,0.027,0.091,0.095485693,0
13.17,38.495,6.742,0.093,-0.018,-0.109,0.108,0.095773435,0
-1.204,9.009,0.995,0.163,-0.094,-0.004,0.207,0.09605429,0
1.017,2.339,9.584,0.005,0.161,-0.095,0.129,0.09605429,0
16.631,13.374,17.587,-0.186,-0.038,0.051,0.081,0.096328243,0
19.473,10.026,-7.874,-0.142,-0.081,0.142,0.107,0.096595291,0
13.225,16.333,18.905,0.139,-0.003,-0.015,0.105,0.096855455,0
17.241,12.851,18.169,-0.038,-0.184,-0.168,0.124,0.097108769,0
13.516,8.737,-10.813,-0.141,-0.096,-0.165,0.135,0.097355285,0
11.204,8.339,-10.929,-0.104,-0.035,-0.118,0.117,0.097595074,0
12.573,17.712,11.224,-0.133,-0.032,-0.069,0.114,0.097828221,0
15.731,0.931,19.652,-0.225,0.206,0.17,0.088,0.098054826,0
8.586,13.632,-4.837,-0.184,-0.106,-0.045,0.119,0.098275005,0
-3.528,2.923,3.378,0.017,0.034,0.094,0.203,0.098488888,0
3.648,4.29,-7.374,-0.056,-0.045,0.168,0.161,0.098488888,0
2.782,2.378,10.745,0.108,0.105,0.165,0.104,0.09869662,0
1.138,7.133,11.833,0.033,-0.053,0.006,0.118,0.098898359,0
-8.341,-2.256,-3.006,0.076,0.017,0.119,0.123,0.099094273,0
6.104,-0.627,-7.754,-0.017,0.062,0.167,0.102,0.099284548,0
6.911,-4.35,-7.779,0.109,0.085,0.236,0.113,0.099469375,0
2.447,-7.254,-6.244,-0.002,-0.034,0.028,0.119,0.099648961,0
-4.595,-6.395,-4.302,0.041,-0.056,0.077,0.109,0.099823522,0
12.658,27.861,8.987,-0.043,-0.059,-0.088,0.091,0.099993284,0
9.114,31.229,3.706,0.096,-0.107,-0.054,0.124,0.100158481,1
16.524,9.904,-12.477,-0.085,0.137,0.077,0.193,0.100319358,1
2.15,5.14,-10.261,-0.045,0.153,0.105,0.182,0.100319358,1
17.057,12.194,17.778,-0.117,-0.049,-0.218,0.105,0.100476168,1
21.237,7.599,-15.03,-0.027,0.101,0.069,0.13,0.100629168,1
6.552,12.089,14.347,0.229,0.018,0.096,0.115,0.100778628,1
-0.103,4.455,3.915,-0.045,-0.055,-0.127,0.098,0.100924819,1
9.857,8.275,23.799,-0.031,-0.091,-0.106,0.108,0.101179763,1
27.304,4.318,28.076,-0.06,-0.202,-0.119,0.126,0.101597472,1
-3.279,9.742,1.538,0.086,-0.03,0.195,0.127,0.102021537,1
26.059,6.368,28.74,0.18,0.083,0.098,0.116,0.102451651,1
16.752,15.059,-8.985,-0.218,0.037,0.037,0.108,0.102887502,1
11.217,-13.012,-4.704,0.192,-0.103,-0.048,0.217,0.103328774,1
23.566,12.06,27.001,-0.083,-0.032,-0.25,0.128,0.103328774,1
1.469,7.381,-10.09,-0.139,-0.059,0.119,0.098,0.103775148,1
3.278,9.817,17.707,-0.132,-0.175,-0.105,0.101,0.104226303,1
27.319,14.879,28.544,0.07,0.088,0.102,0.084,0.104681915,1
17.93,3.949,-8.234,-0.072,-0.009,-0.007,0.084,0.105141659,1
3.18,5.829,15.95,-0.111,0.011,-0.216,0.098,0.105605209,1
-14.705,-5.917,-1.978,0.03,-0.059,-0.05,0.12,0.106072235,1
-6.678,-1.162,-4.216,0.073,-0.117,-0.089,0.1,0.106542412,1
-0.942,20.155,1.742,-0.122,-0.101,-0.02,0.118,0.107015412,1
8.588,3.04,-14.613,-0.087,0.091,-0.01,0.112,0.107490906,1
8.459,10.699,-10.678,-0.058,-0.018,-0.012,0.157,0.10796857,1
-4.871,1.244,-10.692,-0.103,-0.095,0.052,0.128,0.10796857,1
-9.408,0.613,6.737,0.168,0.029,0.022,0.097,0.108448077,1
4.091,-6.983,2.11,0.073,0.11,0.006,0.1,0.108929106,1
8.942,6.113,-13.356,-0.13,-0.206,0.025,0.102,0.109411335,1
7.436,3.725,-11.619,0.03,-0.206,-0.143,0.103,0.109894445,1
12.496,6.91,-13.85,0.088,0.02,-0.183,0.118,0.110378122,1
5.5,15.066,11.285,0.005,-0.044,0.14,0.119,0.110862053,1
-5.841,14.166,0.005,-0.014,-0.028,0.075,0.096,0.111345929,1
1.14,-1.99,13.346,-0.069,0.073,-0.148,0.109,0.111829446,1
7.275,6.222,2.655,-0.122,0.215,0.176,0.102,0.112312304,1
19.345,5.998,-22.29,-0.089,-0.124,-0.338,0.175,0.112794207,1
-6.144,-7.045,5.097,0.013,-0.259,-0.098,0.136,0.112794207,1
24.16,17.329,-13.34,-0.039,-0.014,-0.165,0.111,0.113274865,1
-5.696,-3.676,2.601,-0.04,-0.069,-0.097,0.109,0.113753993,1
-4.028,2.554,14.463,-0.008,0.09,-0.18,0.111,0.11423131,1
15.29,13.335,24.059,0.022,0.061,-0.063,0.102,0.114706544,1
35.677,14.695,32.617,0.117,0.085,0.015,0.102,0.115179426,1
34.377,7.409,34.659,-0.053,-0.139,-0.146,0.14,0.115649696,1
41.243,2.324,40.569,-0.001,-0.035,-0.13,0.109,0.116117099,1
23.838,9.513,-16.075,-0.032,0.014,-0.236,0.143,0.116581387,1
21.321,-5.671,-10.396,0.045,0.152,0.17,0.122,0.117042322,1
22.607,12.678,-24.431,0.155,0.09,-0.456,0.255,0.117499668,1
-1.251,-4.814,14.953,-0.51,-0.115,-0.07,0.15,0.117499668,1
-8.762,1.951,-12.96,0.138,0.204,0.334,0.106,0.117953202,1
5.458,-3.042,-1.224,0.048,0.159,0.118,0.123,0.118402707,1
27.462,19.117,34.241,-0.036,-0.065,-0.125,0.098,0.118847972,1
24.848,6.699,-15.706,0.007,0.159,0.197,0.101,0.119288796,1
41.554,13.206,41.123,-0.119,0.036,0.113,0.109,0.119724988,1
-8.366,4.415,1.709,0.092,-0.119,0.044,0.117,0.120156362,1
25.5,5.285,-12.927,-0.033,0.031,0.084,0.139,0.120582744,1
-3.155,0.64,16.718,-0.068,0.021,0.025,0.111,0.121003967,1
-16.414,7.064,-0.564,0.296,-0.111,0.136,0.158,0.121419872,1
40.848,13.367,-14.628,-0.087,0.069,-0.139,0.202,0.121419872,1
-6.867,-1.68,2.009,0.089,-0.028,-0.272,0.096,0.121830313,1
-11.539,-1.188,4.423,0.249,0.1,0.253,0.114,0.122235149,1
16.554,5.665,-23.732,-0.103,0.031,0.158,0.122,0.12263425,1
-11.666,-2.573,-17.04,-0.102,-0.055,0.124,0.113,0.123027496,1
21.107,7.528,-14.519,0.012,0.079,0.019,0.099,0.123414775,1
-4.758,-10.577,-13.323,0.003,-0.014,0.132,0.111,0.123795988,1
19.568,7.545,30.047,0.138,0.007,0.046,0.106,0.12417104,1
37.124,20.811,31.781,0.024,-0.212,0.049,0.109,0.124539851,1
-24.261,-6.161,-3.301,0.031,-0.068,-0.201,0.133,0.124902347,1
3.581,14.048,-1.51,-0.097,0.176,0,0.152,0.125258466,1
60.337,24.509,44.74,0.043,0.346,-0.298,0.148,0.125258466,1
33.785,20.446,-16.942,-0.109,-0.086,-0.1,0.118,0.125608155,1
27.341,5.769,-8.483,-0.077,0.11,0.047,0.115,0.12595137,1
29.267,3.258,-11.338,0.002,0.09,0.039,0.089,0.126288078,1
58.451,22.529,46.632,0.088,0.221,0.046,0.087,0.126618256,1
34.579,9.007,-16.573,-0.144,-0.005,0.182,0.117,0.126941889,1
-18.419,-3.412,-5.256,0.15,-0.05,0.159,0.093,0.127258973,1
7.275,30.376,15.078,-0.053,-0.119,-0.041,0.095,0.127569513,1
1.353,2.153,23.8,0.18,0.033,0.062,0.116,0.127873524,1
-19.984,16.753,0.313,0.215,-0.152,0.009,0.106,0.128171032,1
18.585,-13.017,-9.13,-0.193,0.007,0.106,0.186,0.128462069,1
-0.47,-3.252,3.495,0.065,-0.018,0.056,0.193,0.128462069,1
-15.342,-2.94,7.287,-0.21,0.187,-0.268,0.115,0.12874668,1
-9.288,-2.608,6.33,0.211,0.467,0.242,0.099,0.129024918,1
32.392,18.249,36.295,-0.009,-0.022,-0.103,0.101,0.129296844,1
21.62,15.876,30.963,-0.119,-0.081,-0.247,0.093,0.129562531,1
6.996,11.25,22.214,0.043,-0.018,0.003,0.126,0.129822058,1
40.486,16.34,-20.268,-0.009,0.198,0.008,0.114,0.130075515,1
-8.458,17.244,14.793,-0.099,-0.188,-0.05,0.097,0.130323,1
61.84,4.943,52.907,0.134,0.028,-0.065,0.112,0.130564621,1
-11.886,27.903,4.994,-0.053,0.037,0.163,0.126,0.130800492,1
0.707,0.505,13.102,-0.122,0.324,-0.257,0.181,0.131030739,1
53.241,37.707,35.31,0.012,0.184,-0.341,0.195,0.131030739,1
5.09,12.982,-17.264,-0.26,-0.156,-0.236,0.115,0.131255493,1
51.126,11.751,-22.218,-0.174,-0.032,0.134,0.1,0.131474895,1
-4.311,-0.821,-14.006,0.058,-0.075,0.25,0.089,0.131689094,1
21.483,8.971,24.919,0.061,-0.052,-0.134,0.09,0.131898245,1
77.918,24.369,44.942,-0.201,-0.096,-0.055,0.093,0.132102513,1
33.941,1.663,-16.111,0.212,-0.036,0.07,0.118,0.132302069,1
38.983,-1.815,-13.644,0.223,-0.023,-0.039,0.095,0.132497093,1
66.571,6.141,-21.698,-0.024,0.019,-0.124,0.128,0.13268777,1
60.244,-7.564,-14.067,-0.134,0.083,0.181,0.107,0.132874293,1
18.75,33.517,4.299,-0.128,-0.013,-0.19,0.214,0.133056861,1
23.413,11.256,-21.934,-0.049,-0.229,0.079,0.15,0.133056861,1
83.903,31.87,34.862,-0.2,-0.003,-0.341,0.148,0.133235681,1
86.14,29.051,38.104,-0.139,-0.014,-0.467,0.105,0.133410964,1
86.497,12.024,-20.106,-0.065,0.15,-0.168,0.105,0.13358293,1
104,23.436,46.993,0.121,0.356,0.215,0.11,0.133751803,1
37.475,-9.796,-17.285,-0.063,0.013,0.143,0.124,0.133917812,1
80.694,4.134,-15.192,-0.048,0.09,0.024,0.111,0.134081193,1
69.204,11.609,-6.933,0.119,0.149,0.023,0.103,0.134242187,1
59.845,37.284,17.012,-0.072,-0.17,-0.128,0.127,0.134401039,1
101.75,28.54,34.834,-0.209,-0.305,-0.35,0.139,0.134558,1
52.612,-6.092,6.688,-0.127,-0.118,0.062,0.164,0.134558,1
29.618,-20.615,6.372,-0.057,-0.31,0.315,0.14,0.134713324,1
31.487,3.387,-8.796,-0.088,-0.272,0.315,0.121,0.134867269,1
91.089,12.581,33.871,0.236,0.309,-0.174,0.112,0.1350201,1
87.421,13.02,36.747,-0.033,-0.091,-0.114,0.101,0.135172083,1
137.13,31.665,52.858,-0.118,0.085,0.005,0.105,0.135629184,1
63.96,-4.458,15.488,0.06,-0.016,-0.116,0.123,0.13626502,1
28.291,-14.389,-2.866,0.078,-0.149,-0.19,0.088,0.136902076,1
28.037,-15.131,-5.601,-0.043,-0.098,-0.242,0.101,0.137540114,1
64.659,27.713,10.038,-0.014,-0.144,-0.191,0.125,0.138178896,1
30.936,-6.584,0.439,0.383,-0.119,-0.447,0.149,0.138818185,1
87.104,20.216,-26.231,-0.131,0.049,0.429,0.217,0.138818185,1
134.54,18.12,-20.986,-0.323,-0.027,0.002,0.144,0.139457746,1
74.196,-8.98,2.254,0.088,0.217,-0.294,0.136,0.140097347,1
42.355,-17.243,-1.187,0.177,-0.286,-0.033,0.107,0.140736757,1
-33.644,-8.911,-10.294,-0.022,-0.237,-0.045,0.133,0.141375747,1
75.828,31.535,39.869,0.081,-0.053,0.165,0.097,0.142014092,1
18.801,7.302,31.421,-0.103,0.159,0.009,0.089,0.14265157,1
-35.667,-14.858,-9.361,0.212,-0.35,-0.049,0.083,0.143287961,1
69.592,18.605,52.073,-0.277,0.036,0.06,0.084,0.14392305,1
49.384,12.781,-29.341,-0.116,0.228,-0.187,0.124,0.144556624,1
-16.604,-4.44,7.249,0.133,0.241,0.107,0.151,0.144556624,1
31.904,4.187,-9.768,0.085,0.17,0.07,0.108,0.145188477,1
-18.309,-10.787,8.612,-0.076,-0.046,0.082,0.103,0.145818404,1
4.096,11.433,-28.652,0.033,0.021,-0.073,0.111,0.146446208,1
48.186,12.935,-26.967,-0.179,-0.047,-0.147,0.109,0.147071694,1
65.863,27.337,50.337,-0.052,-0.067,-0.209,0.103,0.147694672,1
71.575,21.216,48.519,-0.072,0.201,0.201,0.088,0.148314961,1
16.027,5.563,33.268,-0.13,0.141,-0.075,0.086,0.148932381,1
-51.539,-17.075,-4.368,0.232,-0.107,-0.006,0.098,0.149546761,1
5.794,12.578,-6.156,0.279,0.266,-0.12,0.095,0.150157933,1
35.648,-4.328,-20.837,-0.02,0.321,-0.119,0.131,0.150765739,1
9.341,13.634,24.75,0.124,0.029,0.196,0.235,0.150765739,1
26.446,-1.619,51.782,0.097,0.039,0.012,0.094,0.151370024,1
2.079,-12.283,3.309,0.13,0.08,-0.354,0.147,0.151970641,1
48.784,13.195,-27.497,0.081,0.211,0.081,0.106,0.15256745,1
75.799,30.431,54.005,0.098,0.071,0.021,0.118,0.153160317,1
59.123,24.675,46.587,-0.161,-0.161,0.076,0.129,0.153749117,1
40.247,25.132,35.877,-0.196,-0.193,-0.215,0.117,0.15433373,1
23.863,32.194,30.857,-0.04,-0.087,-0.117,0.117,0.154914044,1
-19.495,28.282,14.495,-0.085,-0.288,-0.089,0.105,0.155489956,1
56.89,12.593,-32.431,-0.02,0.263,-0.177,0.107,0.156061371,1
-4.811,6.733,-11.201,-0.287,0.325,0.438,0.253,0.156628199,1
86.023,38.939,56.174,-0.152,0.35,-0.191,0.15,0.156628199,1
19.15,20.384,-27.44,-0.023,-0.041,0.126,0.134,0.15719036,1
-46.653,-6.44,-15.245,-0.191,-0.301,0.222,0.112,0.157747784,1
88.992,42.276,51.496,-0.37,-0.012,0.346,0.113,0.158300405,1
4.95,10.357,32.377,0.097,-0.121,-0.205,0.131,0.158848168,1
50.792,9.477,-16.164,-0.263,-0.069,-0.031,0.127,0.159391028,1
-59.88,-17.279,-3.799,0.269,0.001,-0.13,0.108,0.159928945,1
14.425,38.354,24.436,0.249,-0.226,-0.149,0.175,0.160461891,1
48.981,15.885,-30.712,-0.434,0.084,0.046,0.157,0.160989843,1
-0.247,2.647,0.67,0.063,0.046,0.047,-0.004,0.161512791,1
9.978,11.689,-27.759,0.014,0.226,0.027,0.125,0.161512791,1
40.51,-3.428,-14.563,0.163,0.274,0.115,0.176,0.16203073,1
-29.016,-11.087,17.897,0.486,0.168,0.079,0.126,0.162543667,1
-35.369,-4.091,-21.647,-0.065,-0.127,0.2,0.157,0.163051617,1
-34.003,-16.823,-18.39,0.155,0.16,0.226,0.193,0.163554601,1
50.324,12.241,-25.708,-0.005,-0.013,-0.167,0.149,0.164052654,1
6.16,26.988,25.855,0.026,-0.227,0.033,0.158,0.164545817,1
99.645,19.379,64.094,-0.032,-0.073,0.052,0.154,0.16503414,1
13.502,48.541,25.377,0.214,-0.17,-0.076,0.151,0.165517683,1
77.031,25.336,51.365,0.22,0.039,0.201,0.276,0.165996513,1
70.577,24.583,-28.351,-0.013,0.068,0.476,0.18,0.165996513,1
-9.539,-2.63,16.547,-0.06,-0.027,-0.418,0.198,0.166470709,1
38.141,1.72,-16.173,-0.008,0.274,-0.087,0.172,0.166940357,1
-18.003,-2.356,21.825,0.207,-0.077,-0.143,0.178,0.16740555,1
78.445,26.416,49.972,-0.212,0.219,0.284,0.171,0.167866395,1
18.715,23.641,32.903,-0.081,-0.054,-0.129,0.195,0.168323002,1
95.172,20.979,62.221,0.051,0.071,-0.025,0.195,0.168775493,1
66.958,-0.411,58.205,0.442,-0.089,0.045,0.189,0.169223997,1
-21.593,-8.571,-3.323,-0.262,-0.191,0.088,0.206,0.169223997,1
-58.921,-33.308,2.812,0.133,-0.232,-0.183,0.204,0.169668654,1
-71.174,-16.196,-4.444,0.092,-0.172,-0.026,0.209,0.170109609,1
91.649,37.917,48.25,0.017,0.048,-0.027,0.238,0.170547017,1
37.739,11.329,47.606,-0.143,0.006,0.086,0.228,0.170981042,1
-69.242,-20.679,-2.989,0.007,-0.139,-0.222,0.231,0.171411854,1
-3.333,-9.973,-20.959,-0.055,-0.297,-0.3,0.25,0.171839631,1
-42.464,-26.805,-8.033,-0.061,-0.032,0.329,0.207,0.172264561,1
101.5,15.155,62.408,-0.364,-0.035,-0.032,0.256,0.172686837,1
2.574,21.285,-29.601,-0.455,0.272,0.075,0.279,0.172686837,1
