time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,timestamp,tool_wear,ACTION_CODE
127,-2.443,0.801,-4.361,-0.102,-0.003,0.212,0.153,503.48228,0.094781131,0
128,-4.688,-0.555,3.023,0.077,0.027,0.09,0.082,507.4423,0.094864584,0
129,11.103,6.655,22.343,0.084,0.001,-0.049,0.081,511.40232,0.094935954,0
130,5.585,7.434,13.912,0.02,0.178,-0.037,0.1,515.36234,0.094995369,0
131,4.577,14.201,5.866,0.153,0.036,0.172,0.094,519.32236,0.095042971,0
132,21.265,13.277,23.65,-0.001,-0.052,0.027,0.085,523.28238,0.095078921,0
133,12.711,3.652,23.87,-0.207,-0.067,-0.157,0.092,527.2424,0.095103397,0
134,13.938,7.156,-1.33,0.061,0.156,0.217,0.079,531.20242,0.095116591,0
135,20.965,-3.466,-3.991,-0.032,0.079,0.039,0.139,535.16244,0.095118712,0
136,14.63,16.555,-7.469,-0.142,0.011,0.17,0.249,539.16244,0.095118712,0
137,3.881,4.884,6.388,0.123,0.001,0.028,0.093,543.12246,0.095118712,0
138,24.67,11.178,32.025,-0.059,0.054,-0.088,0.07,547.08248,0.095118712,0
139,8.477,5.728,13.672,-0.106,0.09,-0.067,0.08,551.0425,0.095118712,0
140,-3.485,0.534,-2.424,-0.038,-0.081,0.007,0.115,555.00252,0.095118712,0
141,-4.267,6.927,9.26,0.096,0.01,0.001,0.079,558.96254,0.095118712,0
142,7.932,0.766,-7.948,-0.073,0.019,-0.119,0.143,562.92256,0.095118712,0
143,-0.498,2.537,5.8,0.074,0.048,0.164,0.074,566.88258,0.095118712,0
144,-3.682,1.532,8.191,-0.022,0.001,-0.201,0.09,570.8426,0.095118712,0
145,16.52,0.949,23.377,0.112,0.075,0.183,0.206,574.80262,0.095118712,0
146,12.346,9.451,-5.142,-0.108,-0.066,0.143,0.153,578.80262,0.095118712,0
147,-5.451,-1.754,-3.301,-0.012,-0.043,0.025,0.111,582.76264,0.095118712,0
148,4.008,11.872,7.837,0.137,-0.031,0.124,0.075,586.72266,0.095207263,0
149,15.129,-1.076,-11.519,0.001,0.155,0.007,0.103,590.68268,0.095440252,0
150,31.387,8.801,32.514,-0.003,0.013,-0.031,0.091,594.6427,0.095661617,0
151,10.318,2.975,17.39,-0.059,0.118,-0.134,0.097,598.60272,0.095871448,0
152,-4.135,9.479,-3.23,0.005,0.007,-0.047,0.096,602.56274,0.096069853,0
153,10.857,7.807,-7.706,-0.117,0.054,-0.04,0.089,606.52276,0.096256955,0
154,16.603,30.055,19.247,-0.201,0.048,0.011,0.131,610.48278,0.096432895,0
155,11.912,2.85,-3.944,0.053,0.048,-0.014,0.191,614.48278,0.096432895,0
156,26.796,11.52,-8.893,-0.052,-0.064,0.096,0.132,618.4428,0.096597827,0
157,3.071,9.177,-4.35,0.033,-0.046,0.092,0.104,622.40282,0.096751922,0
158,-10.801,-3.531,-5.114,0.054,-0.026,0.115,0.111,626.36284,0.096895367,0
159,-0.432,2.432,11.309,0.103,0.131,-0.018,0.091,630.32286,0.09702836,0
160,23.167,7.774,-7.759,-0.065,0.036,0.067,0.106,634.28288,0.097151116,0
161,4.999,13.345,-10.579,-0.124,0.016,-0.113,0.095,638.2429,0.097263863,0
162,4.458,4.462,0.626,0.154,0.101,0.227,0.079,642.20292,0.097366841,0
163,22.788,11.714,-12.084,-0.06,0.055,-0.074,0.095,646.16294,0.097460305,0
164,-0.516,1.003,0.04,0.023,0.019,0.008,-0.004,650.12296,0.097544519,1
165,-7.36,-4.034,3.625,0.04,-0.101,0.103,0.107,654.12296,0.097544519,1
166,-11.893,-1.412,-1.483,-0.039,-0.173,0.048,0.102,658.08298,0.097619763,1
167,5.316,4.766,-7.327,-0.031,-0.163,0.041,0.11,662.043,0.097686325,1
168,-3.053,-2.202,-8.743,-0.02,-0.109,0.122,0.104,666.00302,0.097744506,1
169,3.246,13.379,8.933,-0.081,-0.19,-0.11,0.101,669.96304,0.097794618,1
170,9.987,26.497,12.449,0.06,-0.217,-0.202,0.095,673.92306,0.09783698,1
171,5.695,25.704,8.688,0.102,-0.038,0.023,0.087,677.88308,0.097871925,1
172,-1.386,22.382,5.602,-0.157,-0.079,-0.089,0.079,681.8431,0.097899792,1
173,16.004,0.192,29.986,0.366,0.211,0.301,0.18,685.80312,0.09792093,1
174,16.711,13.159,-7.617,0.086,0.03,0.208,0.149,689.80312,0.09792093,1
175,19.992,9.11,-7.729,-0.088,-0.079,-0.09,0.105,693.76314,0.097935697,1
176,30.64,6.833,-17.703,-0.045,-0.018,0.074,0.093,697.72316,0.097944456,1
177,16.159,6.814,-13.043,-0.005,0.01,0.024,0.121,701.68318,0.097947582,1
178,21.367,8.009,29.346,0.049,0.121,-0.05,0.086,705.6432,0.097947582,1
179,1.681,18.428,4.666,0.03,-0.065,0.029,0.089,709.60322,0.097947582,1
180,16.275,5.189,-9.513,-0.165,0.074,0.002,0.081,713.56324,0.097947582,1
181,21.739,3.604,29.401,0.016,0.084,0.082,0.081,717.52326,0.097947582,1
182,25.671,20.169,25.414,-0.071,-0.112,0.002,0.163,721.48328,0.097947582,1
183,12.873,0.086,-5.183,0.192,0.153,0.061,0.16,725.48328,0.097947582,1
184,-16.045,-0.192,-0.151,-0.069,0.015,0.176,0.101,729.4433,0.097947582,1
185,29.327,11.033,32.333,-0.098,-0.159,-0.363,0.108,733.40332,0.097947582,1
186,5.166,13.331,13.236,0.073,-0.168,-0.076,0.086,737.36334,0.097947582,1
187,21.55,10.029,27.952,0.028,0.102,-0.1,0.093,741.32336,0.097947582,1
188,1.187,3.202,0.547,-0.117,-0.024,-0.033,0.084,745.28338,0.097947582,1
189,15.961,4.163,-13.072,-0.061,0.034,-0.07,0.104,749.2434,0.097947582,1
190,-4.328,2.422,6.132,0.023,0.058,-0.004,0.097,753.20342,0.097947582,1
191,0.318,-10.254,-7.162,0.049,-0.118,-0.008,0.109,757.16344,0.097947582,1
192,-0.931,0.951,0.261,-0.045,-0.044,-0.048,-0.004,761.16344,0.097947582,1
193,25.535,6.661,-10.707,-0.004,0.094,0.104,0.095,765.12346,0.097947582,1
194,1.866,5.266,16.663,-0.047,-0.028,0.04,0.112,769.08348,0.097947582,1
195,-5.205,-0.373,3.013,0.208,0.024,0.191,0.105,773.0435,0.097947582,1
196,19.838,3.957,-10.246,-0.081,0.103,0.042,0.104,777.00352,0.097947582,1
197,9.103,15.405,17.753,0.054,0.181,0.194,0.114,780.96354,0.097947582,1
198,-4.707,1.686,10.308,-0.103,-0.065,-0.15,0.093,784.92356,0.097947582,1
199,26.312,5.824,33.343,-0.024,0.049,0.004,0.099,788.88358,0.097947582,1
200,2.612,36.773,8.168,0.185,-0.311,-0.288,0.091,792.8436,0.097947582,1
201,15.574,-15.176,-4.898,0.143,-0.169,-0.156,0.199,796.80362,0.097947582,1
202,30.666,6.434,31.593,0.098,-0.008,-0.361,0.106,800.80362,0.097947582,1
203,-12.83,1.878,-4.382,-0.038,0.02,0.202,0.098,804.76364,0.097947582,1
204,24.445,12.765,32.831,-0.007,-0.11,-0.004,0.125,808.72366,0.097947582,1
205,-6,-0.536,-8.447,0.003,0.024,0.204,0.106,812.68368,0.097947582,1
206,14.796,8.361,-10.816,-0.028,-0.039,-0.178,0.122,816.6437,0.097947582,1
207,40.223,10.495,38.96,-0.089,-0.014,0.009,0.097,820.60372,0.097947582,1
208,-15.504,9.385,-3.934,0.071,-0.093,0.068,0.102,824.56374,0.097947582,1
209,22.121,1.263,-13.898,0.095,0.066,-0.133,0.103,828.52376,0.097947582,1
210,0.943,-1.044,18.113,0.038,0.139,-0.179,0.159,832.48378,0.097947582,1
211,10.278,13,-8.111,0.016,0.064,0.333,0.143,836.48378,0.097947582,1
212,-7.191,-0.464,1.936,-0.035,-0.068,-0.215,0.09,840.4438,0.097947582,1
213,36.301,16.936,38.678,0.019,0.139,0.048,0.112,844.40382,0.097947582,1
214,-7.093,-1.457,-9.536,-0.102,-0.112,0.057,0.11,848.36384,0.097947582,1
215,30.104,13.389,30.261,-0.023,0.047,-0.118,0.121,852.32386,0.097947582,1
216,-10.072,5.243,-0.95,-0.014,-0.097,0.05,0.093,856.28388,0.097947582,1
217,11.109,9.738,-6.921,0.019,0.024,-0.142,0.118,860.2439,0.097947582,1
218,11.798,-13.301,-5.336,0.269,0.033,0.058,0.128,864.20392,0.097947582,1
219,-8.089,31.191,7.509,-0.004,-0.095,0.032,0.113,868.16394,0.097947582,1
220,-19.689,-0.845,1.26,0.093,-0.159,0.009,0.169,872.16394,0.097947582,1
221,30.6,7.175,31.313,0.087,0.25,0.146,0.096,876.12396,0.098049397,1
222,50.07,21.212,42.514,-0.099,-0.001,-0.159,0.112,880.08398,0.09816386,1
223,-6.846,-2.559,6.089,0.089,0.101,0.016,0.087,884.044,0.098289085,1
224,32.761,8.153,-18.192,0.055,0.045,0.01,0.108,888.00402,0.098425389,1
225,-19.52,-5.131,-5.878,0.166,-0.006,0.079,0.118,891.96404,0.09857308,1
226,41.234,15.619,36.438,-0.254,0.041,0.113,0.105,895.92406,0.098732459,1
227,4.469,4.749,18.644,-0.284,0.019,-0.302,0.154,899.88408,0.098903816,1
228,19.516,10.89,-18.191,-0.055,0.294,0.07,0.109,903.8441,0.099087434,1
229,2.557,9.234,12.061,0.074,0.006,-0.125,0.201,907.8441,0.099087434,1
230,33.424,7.277,-15.159,0.036,0.157,0.248,0.093,911.80412,0.099283586,1
231,-19.063,-3.558,6.821,0.045,-0.116,0.079,0.083,915.76414,0.099492537,1
232,53.645,19.834,45.143,0.092,0.07,0.096,0.077,919.72416,0.099714542,1
233,2.226,3.801,20.888,0.084,0.055,-0.202,0.108,923.68418,0.099949846,1
234,52.422,19.479,44.08,0.02,-0.021,0.019,0.1,927.6442,0.100198686,1
235,7.291,5.483,24.607,-0.318,-0.118,-0.347,0.113,931.60422,0.100461288,1
236,3.023,13.612,-8.293,-0.019,0.039,0.037,0.093,935.56424,0.100737867,1
237,25.707,11.039,-20.92,-0.132,0.196,-0.049,0.127,939.52426,0.101028631,1
238,8.581,0.4,27.741,0.01,0.17,-0.28,0.198,943.48428,0.101333776,1
239,28.786,5.401,30.867,0.212,-0.042,0.117,0.112,947.48428,0.101333776,1
240,-25.412,2.653,0.154,0.075,-0.235,0.182,0.104,951.4443,0.101653488,1
241,-11.22,1.451,10.008,0.12,-0.078,0.133,0.102,955.40432,0.101987943,1
242,50.468,19.157,43.457,0.167,0.153,-0.016,0.082,959.36434,0.102337306,1
243,51.622,18.049,43.392,0.03,-0.105,-0.032,0.12,963.32436,0.102701732,1
244,30.55,12.413,36.476,-0.036,0.076,-0.096,0.115,967.28438,0.103081366,1
245,-10.998,2.908,9.436,0.079,0.073,-0.093,0.124,971.2444,0.103476342,1
246,7.492,-9.983,-7.18,0.117,-0.043,0.125,0.113,975.20442,0.103886782,1
247,49.031,-0.526,51.8,-0.049,-0.056,0.121,0.144,979.16444,0.104312799,1
248,2.424,-11.483,20.79,-0.031,-0.074,0.011,0.118,983.16444,0.104312799,1
249,-0.343,10.941,-8.048,-0.299,-0.003,0.042,0.096,987.12446,0.104754495,1
250,49.204,24.1,48.26,-0.137,0.089,-0.028,0.078,991.08448,0.105362396,1
251,-20.418,-5.893,-11.475,-0.076,-0.018,0.055,0.107,995.0445,0.106117644,1
252,-24.074,-8.277,0.335,0.258,-0.128,-0.032,0.105,999.00452,0.10689107,1
253,20.39,6.808,-14.438,-0.115,0.041,0.077,0.1,1002.96454,0.107682543,1
254,43.765,9.268,-18.239,0.017,0.059,-0.078,0.143,1006.92456,0.10849192,1
255,13.201,12.101,-10.911,-0.022,0.159,0.123,0.117,1010.88458,0.109319045,1
256,71.057,-3.149,55.726,0.087,-0.007,0.252,0.192,1014.8446,0.110163753,1
257,-11.074,1.696,10.683,-0.073,0.049,-0.381,0.138,1018.8446,0.110163753,1
258,-15.288,-7.885,6.787,0.071,-0.122,-0.2,0.087,1022.80462,0.111025864,1
259,38.773,5.821,-26.419,-0.063,0.044,0.081,0.107,1026.76464,0.111905188,1
260,3.142,7.786,21.993,0.01,-0.016,-0.172,0.115,1030.72466,0.112801524,1
261,27.527,19.089,27.321,0.049,-0.048,0.092,0.113,1034.68468,0.11371466,1
262,43.101,7.332,-20.907,-0.036,-0.022,-0.07,0.105,1038.6447,0.114644372,1
263,13.072,-8.315,-7.645,0.24,-0.02,-0.331,0.096,1042.60472,0.115590427,1
264,36.14,11.637,-19.708,-0.073,0.06,-0.09,0.092,1046.56474,0.116552579,1
265,16.802,17.43,-18.357,-0.088,0.17,0.026,0.193,1050.52476,0.117530573,1
266,10.132,14.556,-14.253,0.01,-0.073,0.259,0.12,1054.52476,0.117530573,1
267,70.715,29.508,44.24,-0.179,-0.007,-0.161,0.087,1058.48478,0.118524146,1
268,-22.08,-2.191,7.362,-0.04,-0.145,0.062,0.09,1062.4448,0.119533022,1
269,26.277,6.153,-19.651,-0.134,0.111,0.146,0.096,1066.40482,0.120556916,1
270,43.052,7.742,-22.356,-0.064,0.154,-0.034,0.082,1070.36484,0.121595536,1
271,19.936,28.945,28.669,-0.112,-0.047,-0.039,0.1,1074.32486,0.122648578,1
272,-24.105,-14.7,-6.656,0.176,-0.044,0.12,0.111,1078.28488,0.123715731,1
273,33.213,12.397,-22.184,0.045,0.175,-0.004,0.099,1082.2449,0.124796675,1
274,-6.674,-2.171,-4.371,-0.267,0.181,0.255,0.219,1086.20492,0.12589108,1
275,53.967,19.776,-20.715,0.069,0.22,0.378,0.133,1090.20492,0.12589108,1
276,5.198,-9.423,-5.706,0.16,0.152,0.152,0.1,1094.16494,0.126998612,1
277,-16,-4.103,15.677,-0.059,-0.022,-0.241,0.094,1098.12496,0.128118924,1
278,12.171,7.281,30.189,0.1,-0.009,-0.186,0.108,1102.08498,0.129251666,1
279,40.483,18.676,41.642,-0.18,0.083,0.155,0.129,1106.045,0.130396477,1
280,57.032,15.892,50.656,-0.04,-0.054,-0.047,0.09,1110.00502,0.131552993,1
281,79.438,15.979,57.52,-0.01,-0.094,0.009,0.094,1113.96504,0.132720839,1
282,-24.252,30.038,3.289,-0.094,-0.149,0.05,0.109,1117.92506,0.133899637,1
283,48.5,13.303,-31.878,-0.184,0.017,-0.17,0.212,1121.88508,0.135089002,1
284,-44.053,-15.462,0.089,-0.118,-0.083,0.299,0.137,1125.88508,0.135089002,1
285,56.987,19.166,47.525,-0.09,0.251,-0.271,0.107,1129.8451,0.136288542,1
286,27.019,13.47,42.585,0.14,-0.153,-0.193,0.104,1133.80512,0.137497861,1
287,83.423,33.087,53.919,0.005,-0.13,-0.259,0.099,1137.76514,0.138716556,1
288,-24.924,-8.443,-12.823,0.054,-0.204,-0.005,0.114,1141.72516,0.139944222,1
289,-16.319,-3.324,19.211,-0.03,-0.134,-0.218,0.079,1145.68518,0.141180446,1
290,47.838,13.772,-24.702,-0.167,0.151,-0.181,0.091,1149.6452,0.142424812,1
291,1.134,-16.783,-8.787,0.345,-0.157,0.05,0.114,1153.60522,0.143676902,1
292,-39.121,30.29,1.335,-0.054,-0.069,-0.014,0.195,1157.56524,0.144936292,1
293,98.104,45.794,58.634,-0.326,0.072,-0.063,0.128,1161.56524,0.144936292,1
294,0.164,17.031,-15.144,-0.151,-0.1,-0.052,0.102,1165.52526,0.146202554,1
295,-45.032,-12.278,-0.944,0.36,-0.13,-0.073,0.102,1169.48528,0.147475259,1
296,21.99,17.58,32.917,0.183,0.087,0.009,0.101,1173.4453,0.148753974,1
297,-16.37,11.835,10.895,0.11,-0.195,-0.154,0.102,1177.40532,0.150038264,1
298,78.147,24.384,60.279,-0.009,0.026,0.007,0.072,1181.36534,0.151327691,1
299,52.191,1.008,53.606,0.061,0.021,-0.03,0.094,1185.32536,0.152621817,1
300,-37.622,15.966,0.289,0.057,0.082,0.384,0.104,1189.28538,0.1539202,1
301,0.483,0.659,2.104,-0.044,-0.059,-0.05,-0.004,1193.2454,0.155222398,1
302,-10.211,18.35,-13.352,-0.378,-0.029,0.27,0.12,1197.2454,0.155222398,1
303,-46.35,-17.272,10.538,0.211,-0.443,0.198,0.098,1201.20542,0.156527968,1
304,28.586,15.347,35.392,0.194,0.062,0.055,0.099,1205.16544,0.157836468,1
